test_mae,test_mre,test_mse,test_rmse,val_mae,val_mre,val_mse,val_rmse,model,db,seed
0.003748404,0.35022862493982315,2.6967782e-05,0.0051930514,0.0032838641,0.37025661426979023,2.2410402e-05,0.0047339625,geodeCrossV3,aircross,15900376
0.003507928,0.3277599631556556,2.449603e-05,0.0049493467,0.0029690189,0.3347577116320979,2.0037673e-05,0.004476346,geodeCrossV3,aircross,63273150
0.0037029043,0.34597740075289,2.6673755e-05,0.0051646642,0.0031433096,0.35440906331590843,2.1260377e-05,0.0046108975,geodeCrossV3,aircross,10799678
0.0037430304,0.3497265415345827,2.6965226e-05,0.005192805,0.00318012,0.35855941320136014,2.2071237e-05,0.0046980036,geodeCrossV3,aircross,72833750
0.0037135382,0.34697094777670184,2.6969588e-05,0.005193225,0.0031086297,0.35049889477267165,2.1640966e-05,0.004651985,geodeCrossV3,aircross,53728009
0.0036226304,0.338477066449675,2.6078773e-05,0.005106738,0.0030475995,0.3436176961851406,2.0472437e-05,0.0045246477,geodeCrossV3,aircross,51547402

0.0039521167,0.36926234081416315,3.101942e-05,0.005569508,0.003231089,0.36430622020820025,2.3088605e-05,0.0048050606,geodeCrossV3,aircross,15900376
0.0037493578,0.3503177306054841,2.6028902e-05,0.0051018526,0.0032307906,0.36427257100893873,2.1980328e-05,0.0046883184,geodeCrossV3,aircross,63273150
0.0037330985,0.34879855650736674,2.7930299e-05,0.0052849124,0.0031984677,0.3606281496799815,2.3704531e-05,0.00486873,geodeCrossV3,aircross,10799678
0.0036814478,0.34397262800714273,2.7465085e-05,0.005240714,0.0031754142,0.3580288586945681,2.3635494e-05,0.0048616347,geodeCrossV3,aircross,72833750
0.0035771136,0.33422425034205777,2.483438e-05,0.0049834107,0.0031604178,0.35633800209703914,2.1665528e-05,0.0046546245,geodeCrossV3,aircross,53728009
0.003632304,0.3393809213107318,2.5150868e-05,0.005015064,0.0031781886,0.3583416646586529,2.1111246e-05,0.0045946976,geodeCrossV3,aircross,51547402
