test_mae,test_mre,test_mse,test_rmse,val_mae,val_mre,val_mse,val_rmse,model,db,seed
8.533849,0.3042405394074847,150.17888,12.254749,7.898366,0.31727856500276436,132.31592,11.502866,geodeCrossV13,aircross_sp,15900376
7.6683097,0.26744323113511975,126.33057,11.239687,6.8891606,0.27009291954976133,100.517975,10.025866,geodeCrossV13,aircross_sp,63273150
7.3266134,0.26579883957011313,119.28226,10.921641,7.1179867,0.2859263833157597,111.09692,10.540252,geodeCrossV13,aircross_sp,10799678
8.794098,0.3368380130678691,170.01895,13.039131,7.8761024,0.3348576520842614,143.45816,11.977402,geodeCrossV13,aircross_sp,72833750
6.2001133,0.20504119000361928,82.84741,9.102056,5.9273176,0.22765938104414582,81.26929,9.014948,geodeCrossV13,aircross_sp,53728009
7.6332703,0.27113344488740443,127.06993,11.27253,6.9043403,0.28740715006595774,110.1985,10.497547,geodeCrossV13,aircross_sp,51547402

8.503313,0.30315191381490175,151.27568,12.2994175,7.841318,0.3149869435572138,131.70956,11.476479,geodeCrossV13,aircross_sp,15900376
7.679874,0.26784655364409077,126.63117,11.253052,6.8657227,0.26917402765255716,99.89003,9.9945,geodeCrossV13,aircross_sp,63273150
7.2227044,0.26202917133870374,113.47662,10.652541,7.068155,0.28392467195614884,107.61489,10.373759,geodeCrossV13,aircross_sp,10799678
8.780757,0.336326993665058,170.56583,13.060085,7.890143,0.3354546003870765,144.72571,12.0302,geodeCrossV13,aircross_sp,72833750
6.210654,0.20538978060340696,82.604675,9.088712,5.961306,0.22896482909939053,81.12935,9.007183,geodeCrossV13,aircross_sp,53728009
7.5286,0.2674155645367091,125.25515,11.191745,6.8149333,0.283685403623305,108.66437,10.42422,geodeCrossV13,aircross_sp,51547402

0.00334825,0.40176360658156496,2.3439343e-05,0.0048414194,0.0026811375,0.4103723963011376,1.6429667e-05,0.0040533524,geodeCrossV13,aircross,15900376
0.0041661137,0.39141159156280253,3.340949e-05,0.0057800943,0.0035734253,0.4154367974679405,2.6772232e-05,0.005174189,geodeCrossV13,aircross,63273150
0.0030966375,0.3659196740470596,2.0919733e-05,0.0045738094,0.0025018556,0.37552244288953274,1.5035849e-05,0.0038776088,geodeCrossV13,aircross,10799678
0.0041205417,0.3257678543081951,3.2215812e-05,0.0056758975,0.0031651563,0.32359613111976776,1.9602865e-05,0.004427512,geodeCrossV13,aircross,72833750
0.0030265448,0.3736674793694678,1.8681487e-05,0.0043222085,0.0027020716,0.4061799291676983,1.5902038e-05,0.003987736,geodeCrossV13,aircross,53728009
0.004112871,0.42462128730889476,3.3825563e-05,0.005815975,0.0033293369,0.44049392389456715,2.3228753e-05,0.004819622,geodeCrossV13,aircross,51547402

0.0039234716,0.4067069822535575,3.0346908e-05,0.005508803,0.003322363,0.42366053127313463,2.4016059e-05,0.004900618,geodeCrossV13,aircross,15900376
0.0042567607,0.3837662686260428,3.304684e-05,0.005748638,0.0036905506,0.4059300934671073,2.691363e-05,0.005187835,geodeCrossV13,aircross,63273150
0.0041711363,0.4366261566066736,3.2449785e-05,0.0056964713,0.003626453,0.46587737186891803,2.5692369e-05,0.005068764,geodeCrossV13,aircross,10799678
0.0037512677,0.318222599108361,2.6312999e-05,0.00512962,0.0031959363,0.3403669263108108,1.9755531e-05,0.0044447193,geodeCrossV13,aircross,72833750
0.0043106545,0.4384276248975665,3.5615987e-05,0.005967913,0.003811211,0.46265256266127347,3.003626e-05,0.005480535,geodeCrossV13,aircross,53728009
0.004017328,0.43037197052277576,2.9248627e-05,0.0054082,0.0035408954,0.48161184448097644,2.2129e-05,0.004704147,geodeCrossV13,aircross,51547402

0.38906702,0.4653612510187081,0.32721862,0.57203025,0.40147528,0.48326702001613114,0.34607118,0.5882782,geodeCrossV13,syntheticCross,15900376
0.41341737,0.4869571858153498,0.35004124,0.59164286,0.42182297,0.49931635478962877,0.36573163,0.6047575,geodeCrossV13,syntheticCross,63273150
0.4481944,0.5318625251351152,0.39198512,0.6260871,0.45220515,0.5382441746525529,0.39487493,0.6283907,geodeCrossV13,syntheticCross,10799678
0.43202505,0.5454439962514636,0.38399884,0.6196764,0.44230217,0.5600378448344571,0.3994132,0.63199145,geodeCrossV13,syntheticCross,72833750
0.45377293,0.5460308775286546,0.44153965,0.6644845,0.46188855,0.5582164837196428,0.45948458,0.6778529,geodeCrossV13,syntheticCross,53728009
0.4166792,0.48872462720354054,0.37305415,0.6107816,0.42908418,0.504061379170825,0.39050472,0.62490374,geodeCrossV13,syntheticCross,51547402

0.35134992,0.42274734263864794,0.2728509,0.5223513,0.36154094,0.43852499154527,0.2889976,0.53758496,geodeCrossV13,syntheticCross,15900376
0.3620236,0.415959249918813,0.27847067,0.5277032,0.37588158,0.4349255898535893,0.298366,0.5462289,geodeCrossV13,syntheticCross,63273150
0.45599502,0.556269540015073,0.4520725,0.67236334,0.46179414,0.5665850386282264,0.45735982,0.67628384,geodeCrossV13,syntheticCross,10799678
0.36422536,0.44727222602788974,0.27413335,0.52357745,0.3762386,0.4628613901931058,0.287911,0.5365734,geodeCrossV13,syntheticCross,72833750
0.39774707,0.46196028856282895,0.3702583,0.60848856,0.40513927,0.4717509166452955,0.38720235,0.62225586,geodeCrossV13,syntheticCross,53728009
0.40866482,0.4751097542937112,0.39148906,0.6256909,0.42509648,0.4950787853155992,0.41880152,0.6471488,geodeCrossV13,syntheticCross,51547402

0.37801412,0.4343321012488928,0.30635914,0.5534972,0.39145312,0.45294313167021566,0.32735714,0.5721513,geodeCrossV13,syntheticCross,63273150
0.3712706,0.4265839063848785,0.29094893,0.5393968,0.38357314,0.44382537235730773,0.31003883,0.55681133,geodeCrossV13,syntheticCross,63273150
0.37615988,0.4322016046277975,0.29793918,0.54583806,0.38827416,0.4492648241354068,0.3168308,0.56287724,geodeCrossV13,syntheticCross,63273150
0.36233222,0.41631388324187024,0.2782852,0.52752745,0.37622938,0.435328008578247,0.2980709,0.5459587,geodeCrossV13,syntheticCross,63273150
0.38695678,0.44460708785145897,0.31393024,0.5602948,0.40078062,0.4637357953396636,0.33575812,0.5794464,geodeCrossV13,syntheticCross,63273150
0.37391198,0.4296188078691948,0.29697862,0.54495746,0.3873599,0.4482069413752359,0.31801754,0.56393045,geodeCrossV13,syntheticCross,63273150
0.3810554,0.43782649402472157,0.30122855,0.5488429,0.3944307,0.4563884330379781,0.32184067,0.56731004,geodeCrossV13,syntheticCross,63273150
0.35805896,0.4114039665154342,0.2759361,0.5252962,0.37084392,0.42909660165756713,0.29465243,0.54281896,geodeCrossV13,syntheticCross,63273150
0.38894132,0.4468872699064654,0.30710533,0.55417085,0.40232876,0.46552715165946196,0.32759446,0.57235867,geodeCrossV13,syntheticCross,63273150
0.3734458,0.429083184142889,0.29796723,0.54586375,0.38667637,0.4474160597582163,0.3184691,0.5643307,geodeCrossV13,syntheticCross,63273150
0.35754502,0.41081343207512183,0.27532333,0.5247126,0.37116873,0.4294724378445187,0.29479405,0.5429494,geodeCrossV13,syntheticCross,63273150
0.37975016,0.4363267866734239,0.2998411,0.5475775,0.3932092,0.45497505995625376,0.32073483,0.56633455,geodeCrossV13,syntheticCross,63273150
0.35981593,0.41342268759058026,0.2763461,0.5256863,0.37196097,0.4303891264332586,0.29405156,0.54226524,geodeCrossV13,syntheticCross,63273150
0.36260012,0.41662165681681795,0.28443435,0.5333239,0.37569734,0.4347124183492928,0.30323172,0.5506648,geodeCrossV13,syntheticCross,63273150
