test_mae,test_mre,test_mse,test_rmse,val_mae,val_mre,val_mse,val_rmse,model,db,seed
9.714476,0.3458399863390347,215.16702,14.668572,9.369167,0.36208729686926816,204.58844,14.303442,geodeCrossV13,aircross_sp,15900376
9.02403,0.3212597975167485,176.8428,13.298225,8.678352,0.33538959966922166,169.23067,13.008869,geodeCrossV13,aircross_sp,15900376

8.901535,0.316898919960572,177.61186,13.32711,8.52712,0.32954493957627984,169.89996,13.034568,geodeCrossV13,aircross_sp,15900376
9.264045,0.3298044328746492,188.3215,13.723028,8.895119,0.34376688119077026,178.38312,13.356014,geodeCrossV13,aircross_sp,15900376
9.059007,0.32250498849802994,178.13373,13.346675,8.68125,0.3355015560940433,170.68915,13.064806,geodeCrossV13,aircross_sp,15900376

8.816145,0.3138590014020135,164.35437,12.820077,8.22135,0.31772795564627115,150.5994,12.271894,geodeCrossV13,aircross_sp,15900376

8.468963,0.30149913618343943,157.01552,12.530583,8.102593,0.3131384106251505,151.95842,12.327142,geodeCrossV13,aircross_sp,15900376
10.622155,0.3781538436800072,216.974,14.730038,10.4142475,0.40247619539049395,202.89996,14.244296,geodeCrossV13,aircross_sp,15900376
9.16384,0.32623713134424887,168.57828,12.983769,8.684678,0.3356340657132725,164.1326,12.811424,geodeCrossV13,aircross_sp,15900376
11.011995,0.3920323245408926,237.97322,15.426381,10.935025,0.4226025183311072,226.68773,15.056152,geodeCrossV13,aircross_sp,15900376

11.373608,0.40490589603631816,254.14244,15.941846,11.39321,0.44030988067917887,245.48317,15.667903,geodeCrossV13,aircross_sp,15900376
8.65319,0.3080577013207311,159.80302,12.641322,8.220427,0.31769226326964145,151.68079,12.315875,geodeCrossV13,aircross_sp,15900376
9.0237875,0.3212511676532961,171.22177,13.085174,8.61548,0.33295981105230926,167.51994,12.942949,geodeCrossV13,aircross_sp,15900376
8.630162,0.3072379298360197,161.2686,12.699158,8.251424,0.3188902304350612,149.87245,12.242241,geodeCrossV13,aircross_sp,15900376

11.008609,0.39191176862562593,232.99097,15.264042,11.068876,0.42777540645529094,225.19106,15.006367,geodeCrossV13,aircross_sp,15900376
8.409553,0.2993841205094226,158.53821,12.591196,7.8982506,0.30524123835703104,148.14003,12.171279,geodeCrossV13,aircross_sp,15900376
8.818693,0.3139497132831638,169.33748,13.012974,8.466327,0.3271954922266126,165.73918,12.873973,geodeCrossV13,aircross_sp,15900376
8.392011,0.2987596242640468,157.98434,12.569182,8.077787,0.31217972943039435,149.87431,12.242316,geodeCrossV13,aircross_sp,15900376

8.551607,0.3044413297313078,165.58257,12.867888,8.138063,0.3145092251425635,157.19624,12.537792,geodeCrossV13,aircross_sp,15900376
8.926879,0.3178011667225817,169.08316,13.003198,8.484378,0.3278931311424787,161.89304,12.72372,geodeCrossV13,aircross_sp,15900376
8.724917,0.310611266992419,162.02985,12.7290945,8.364407,0.3232566312625896,157.38857,12.54546,geodeCrossV13,aircross_sp,15900376


8.81118,0.3136822530594061,161.05432,12.690718,8.332224,0.32201287893239205,148.93051,12.203709,geodeCrossV13,aircross_sp,15900376
8.686861,0.30925644397365865,158.05829,12.572124,8.279765,0.31998549846809976,155.57657,12.473034,geodeCrossV13,aircross_sp,15900376
8.785387,0.312764013740315,158.14241,12.575469,8.385401,0.3240679978541775,155.80359,12.482131,geodeCrossV13,aircross_sp,15900376

8.820193,0.31400310919779084,162.16481,12.734395,8.333508,0.32206247395759663,149.63832,12.232675,geodeCrossV13,aircross_sp,15900376
8.728608,0.3107426375466956,157.12665,12.535017,8.269671,0.3195954222321242,149.5596,12.229456,geodeCrossV13,aircross_sp,15900376
8.749325,0.31148017407942014,155.7542,12.480152,8.381423,0.32391426664397466,153.48764,12.389013,geodeCrossV13,aircross_sp,15900376

8.709355,0.31005722975877476,161.99968,12.727909,8.233273,0.3181887148191117,149.70135,12.23525,geodeCrossV13,aircross_sp,15900376
8.586782,0.30569359938539575,154.85806,12.444198,8.214467,0.31746196723279196,149.79343,12.239013,geodeCrossV13,aircross_sp,15900376
8.893069,0.31659755202016077,159.99574,12.648942,8.541375,0.33009586544588715,156.50623,12.510244,geodeCrossV13,aircross_sp,15900376

new iter
9.501724,0.3382659375225844,180.716,13.443066,9.163335,0.3541325422369792,172.4728,13.13289,geodeCrossV13,aircross_sp,15900376
8.379852,0.29832675468282543,158.7582,12.599928,7.9923987,0.30887975532407735,151.65002,12.314627,geodeCrossV13,aircross_sp,15900376
10.871138,0.38701774029013564,225.03935,15.001311,10.759285,0.41581074030400267,212.93488,14.592288,geodeCrossV13,aircross_sp,15900376
8.912755,0.31729836247576254,169.4558,13.017519,8.759927,0.33854215891288547,169.1676,13.006445,geodeCrossV13,aircross_sp,15900376
11.424357,0.40671261803140624,254.90701,15.965808,11.4530115,0.4426209954857803,245.70349,15.674932,geodeCrossV13,aircross_sp,15900376
11.422401,0.4066429673866309,255.92622,15.997694,11.422969,0.44145992381080923,246.18745,15.690362,geodeCrossV13,aircross_sp,15900376
8.449051,0.30079026390603025,155.78552,12.481407,8.048527,0.3110489027000393,148.93402,12.203853,geodeCrossV13,aircross_sp,15900376
9.038989,0.3217923584066617,161.09346,12.69226,8.503057,0.3286149994338659,151.92133,12.325637,geodeCrossV13,aircross_sp,15900376
8.568773,0.3050524333025157,159.65076,12.635298,8.211652,0.31735315227183103,150.49432,12.267612,geodeCrossV13,aircross_sp,15900376
10.675784,0.38006303164874533,225.92967,15.030957,10.276186,0.3971405861222933,212.86664,14.58995,geodeCrossV13,aircross_sp,15900376
8.413356,0.2995195110507252,160.0159,12.649739,8.048235,0.31103764021790054,153.48087,12.38874,geodeCrossV13,aircross_sp,15900376
8.948799,0.31858154670399014,167.16495,12.929229,8.488082,0.32803626826710885,161.32193,12.701257,geodeCrossV13,aircross_sp,15900376
8.388521,0.29863537607808777,156.38072,12.505228,7.9560733,0.30747588859647074,145.17392,12.048814,geodeCrossV13,aircross_sp,15900376
8.566752,0.30498048864340493,158.87149,12.6044235,8.062829,0.3116016666602034,148.0533,12.167715,geodeCrossV13,aircross_sp,15900376
