test_mae,test_mre,test_mse,test_rmse,val_mae,val_mre,val_mse,val_rmse,model,db,seed
8.447181,0.30115072716182684,147.71754,12.153911,7.791863,0.31300031632126923,130.89977,11.441144,geodeCrossV7,aircross_sp,15900376
7.7606754,0.27066462905218214,127.53811,11.293277,6.982016,0.2737333576235368,103.312294,10.164266,geodeCrossV7,aircross_sp,63273150
7.6392264,0.27713997148564234,123.894066,11.130771,7.2223387,0.29011815963919135,114.1467,10.683946,geodeCrossV7,aircross_sp,10799678
8.828809,0.3381675189190567,165.9461,12.882007,8.155262,0.3467262912069285,146.0012,12.083096,geodeCrossV7,aircross_sp,72833750
6.336443,0.20954969159121392,84.94464,9.216541,6.1500406,0.23621383372893506,83.11966,9.116999,geodeCrossV7,aircross_sp,53728009
7.335122,0.2605432316290612,120.016846,10.95522,6.726081,0.2799867375775536,106.75151,10.332063,geodeCrossV7,aircross_sp,51547402

