test_mae,test_mre,test_rmse,max_mae_LPS_test,min_mae_LPS_test,max_mre_LPS_test,min_mre_LPS_test,max_rmse_LPS_test,min_rmse_LPS_test,max_mae_CC_test,min_mae_CC_test,max_mre_CC_test,min_mre_CC_test,max_rmse_CC_test,min_rmse_CC_test,max_mae_KHR_test,min_mae_KHR_test,max_mre_KHR_test,min_mre_KHR_test,max_rmse_KHR_test,min_rmse_KHR_test,val_mae,val_mre,val_rmse,max_mae_LPS_val,min_mae_LPS_val,max_mre_LPS_val,min_mre_LPS_val,max_rmse_LPS_val,min_rmse_LPS_val,max_mae_CC_val,min_mae_CC_val,max_mre_CC_val,min_mre_CC_val,max_rmse_CC_val,min_rmse_CC_val,max_mae_KHR_val,min_mae_KHR_val,max_mre_KHR_val,min_mre_KHR_val,max_rmse_KHR_val,min_rmse_KHR_val,model,db,seed
73.99101,0.2379794104629919,109.93295,98.10085,60.801197,0.3420862712985302,0.19211149879572467,141.32932,91.40525,79.84222,65.81445,0.2897244390007935,0.20532576694889068,118.61762,101.44215,130.3626,67.56425,0.4753882680144218,0.21206812547233078,155.08044,104.1108,74.99873,0.2440798007336053,111.675896,98.65038,61.890457,0.3468073430631197,0.19833362207837074,143.8074,91.49792,79.58384,65.33539,0.2926368468414157,0.2077666681512022,118.71721,97.80235,124.44652,69.34904,0.4552263305271034,0.22096148172750535,142.63846,99.65609,geodeNAall,pem07,15900376
73.10701,0.23513616236704163,107.67708,97.7707,60.14172,0.34093499196696647,0.19002777468847362,139.62123,88.93095,79.03818,66.36273,0.2868068142012567,0.20703627124649893,116.39731,98.39899,130.73517,67.06221,0.47674691611813763,0.21049233495957154,155.6821,99.930664,73.83612,0.24029614618560963,109.208,98.13517,60.67858,0.3449961189513128,0.19445005449996106,142.05347,88.57345,78.56874,65.62485,0.2889042331429541,0.20868713739250389,116.37473,98.5323,124.21028,68.56066,0.4543621732983229,0.21785894500071218,144.4068,94.84968,geodeNAall,pem07,15900376
73.21945,0.23549782169578415,108.15004,97.409775,59.669518,0.3396764070632072,0.1885357722052264,139.11671,88.46145,78.70664,66.13992,0.28560377264072934,0.20634116632251162,116.46929,100.597244,116.09348,67.3051,0.42335363378256746,0.21125471255097408,142.19777,103.15304,74.05133,0.24099653791586548,109.52864,98.14521,60.715874,0.3450314118185252,0.194569567294025,141.8481,88.58443,78.565384,65.5876,0.2888919078418934,0.20856869994573346,116.714584,97.221535,109.00157,69.16809,0.39872861386271263,0.21913921272461317,129.99,97.74419,geodeNAall,pem07,63273150
73.38975,0.23604553358489933,108.12938,97.26491,61.117836,0.3391712510831313,0.19311197685401127,139.4787,90.686714,78.33129,66.31018,0.2842417187533509,0.20687231343145368,115.88567,100.80092,128.7388,67.93179,0.46946680750064507,0.21322176894668696,152.60553,98.83157,74.28297,0.2417503727610338,109.91376,97.76423,62.06331,0.3436920620916453,0.19888754194380598,142.36108,91.000084,78.33449,65.4413,0.2880428654445662,0.2081034457830358,116.101944,97.70799,122.17833,66.38311,0.44692928414921435,0.2187291987322671,141.13579,93.92267,geodeNAall,pem07,10799678
72.79515,0.23413311462893316,107.82785,96.92656,58.75282,0.3379914164701916,0.18563930751265276,139.12444,88.40914,78.616425,64.920616,0.2852763831069955,0.20253719340933424,116.19638,99.821144,122.935905,67.00831,0.44830562385188066,0.21032316837846174,149.83754,99.883675,73.76715,0.2400716743768125,109.81724,97.43205,59.676765,0.34252427653413997,0.19123964040767175,141.69727,88.747505,78.56964,64.04022,0.28890755853358685,0.20364803166408904,116.449814,96.581604,117.09473,67.238396,0.42833343798343904,0.21893418316918645,138.7219,95.33369,geodeNAall,pem07,72833750
72.883965,0.23441877977208037,107.561134,97.40828,59.660492,0.33967120894863434,0.1885072630001145,139.27916,89.743195,78.63483,64.92486,0.28534315255699344,0.20255042803991266,116.480896,99.80712,122.54747,67.002815,0.4468891480382092,0.21030592752050886,147.53638,100.6967,73.77023,0.2400817033406747,109.135376,97.96833,60.478516,0.34440958649943393,0.19380892618857926,142.08815,89.41075,78.4867,64.17572,0.2886025683486756,0.20407890757035055,116.74876,96.36023,117.312546,68.080666,0.429130195762621,0.21843596573169427,136.31354,95.62928,geodeNAall,pem07,53728009
