test_mae,test_mre,test_rmse,max_mae_LPS_test,min_mae_LPS_test,max_mre_LPS_test,min_mre_LPS_test,max_rmse_LPS_test,min_rmse_LPS_test,max_mae_CC_test,min_mae_CC_test,max_mre_CC_test,min_mre_CC_test,max_rmse_CC_test,min_rmse_CC_test,max_mae_KHR_test,min_mae_KHR_test,max_mre_KHR_test,min_mre_KHR_test,max_rmse_KHR_test,min_rmse_KHR_test,val_mae,val_mre,val_rmse,max_mae_LPS_val,min_mae_LPS_val,max_mre_LPS_val,min_mre_LPS_val,max_rmse_LPS_val,min_rmse_LPS_val,max_mae_CC_val,min_mae_CC_val,max_mre_CC_val,min_mre_CC_val,max_rmse_CC_val,min_rmse_CC_val,max_mae_KHR_val,min_mae_KHR_val,max_mre_KHR_val,min_mre_KHR_val,max_rmse_KHR_val,min_rmse_KHR_val,model,db,seed
74.23963,1.0579389089489208,85.440475,78.32337,71.72289,1.3531534315217868,0.9586592840358171,90.71903,80.97504,78.32337,70.85097,1.3531534315217868,0.9592217794653902,90.71903,79.72048,74.23963,74.23963,1.0579389089489208,0.0,85.440475,85.440475,98.34835,0.9844831760606267,110.99698,102.22019,88.79279,1.1321025086589913,0.8968679793753558,114.35381,104.38078,103.803795,88.79279,1.1321025086589913,0.8806980717593943,115.98474,104.38078,98.34835,98.34835,0.9844831760606267,0.0,110.99698,110.99698,geode,aqism,15900376
10.257449,0.17771518717785975,13.866402,11.937108,6.663799,0.21262158941156337,0.10766712892012115,15.594361,9.235332,11.978154,9.083037,0.21405434078611554,0.15381166091283974,15.793725,12.21875,10.257449,10.257449,0.17771518717785975,0.0,13.866402,13.866402,9.601541,0.15967436218730763,12.69294,11.616717,6.707041,0.1920499710726754,0.10624832360219756,14.370851,9.105167,11.095669,8.545853,0.18949953447032597,0.13964569579919742,14.402262,11.212315,9.601541,9.601541,0.15967436218730763,0.0,12.69294,12.69294,geode,metrla,15900376
22.729618,0.35780393399911464,42.606777,28.780933,18.49374,0.45908593090950695,0.31071730499857936,46.086372,39.8874,27.044786,19.108232,0.3769329805698333,0.32222335952726033,51.752678,29.369602,46.25203,22.065744,0.9483663915474968,0.0,52.8732,42.270355,32.059555,0.4236490641996798,61.689262,37.00884,29.449059,0.5151231815521644,0.3817516338341802,65.207405,55.951168,40.369694,22.009432,0.4582350738690939,0.3660604951636904,75.787094,33.726284,56.08788,31.523397,1.1822365885705317,0.0,61.844807,59.776627,geode,aqi,15900376
1.5316385,0.3046051211198115,3.84428,1.915876,1.1444824,0.3599259252629344,0.24354232696743403,4.910928,2.3403857,2.2968554,1.1398239,0.38627207914834505,0.2474418375216149,5.681679,2.3311174,1.5316385,1.5316385,0.3046051211198115,0.0,3.84428,3.84428,1.8160989,0.27879266265468305,4.6173854,2.3098428,1.2392107,0.34386422239138725,0.20947610184521065,6.256272,2.3625102,2.8356216,1.2360802,0.36680401785188066,0.20940852893998418,6.9502344,2.3533378,1.8160989,1.8160989,0.27879266265468305,0.0,4.6173854,4.6173854,geode,nrel-al,15900376
4.0913024,0.6448531556109087,10.4117155,5.4132476,3.044319,0.6985600055487124,0.5483748495805311,14.068889,6.7024055,4.4453483,3.4320776,0.7211684542608516,0.5417913839243377,12.82414,7.2081385,4.0913024,4.0913024,0.6448531556109087,0.0,10.4117155,10.4117155,5.6061807,0.6309350209066208,13.343728,7.3335023,4.2531548,0.6820929651908841,0.5433680101262652,17.713879,9.0380745,6.091912,5.035855,0.6925642429694647,0.5501091549669946,15.166665,9.994446,5.6061807,5.6061807,0.6309350209066208,0.0,13.343728,13.343728,geode,nrel-md,15900376
52.553703,0.25187467976565137,80.5776,61.190742,49.051136,0.30132623769820704,0.21582088968466423,90.48611,74.26352,59.8503,40.237988,0.28089853993527114,0.22668324722528715,91.76094,61.507572,52.660385,23.54014,0.25151241795456897,0.0,80.78357,39.205532,51.85605,0.253717878377949,79.637665,59.554585,48.721146,0.29701197411750146,0.22287420896239693,88.76251,73.13077,59.606823,38.34556,0.2731203264407988,0.22041428178831793,92.13101,59.80278,52.061317,21.307222,0.2538396498445949,0.0,79.90779,33.05979,geode,sd,15900376
74.144005,0.23847147438788288,109.43944,98.51079,61.53661,0.34351575280606583,0.19162666390181224,140.6862,91.69417,79.40374,66.145935,0.28813333873462116,0.20635991196799036,116.78457,98.578285,135.46832,67.65775,0.49400713378147626,0.21236162343982187,166.39302,103.36503,75.145676,0.2445580267804441,111.46386,98.94897,62.60112,0.3478570287699285,0.19540455132955561,143.13467,93.51432,78.67583,67.02313,0.28929800210530776,0.21313369970405668,117.77466,100.75257,130.05185,69.60189,0.47573066688272486,0.22051358331760185,154.48845,99.72893,geode,pem07,15900376
75.48968,0.2427995981096892,110.45147,96.11998,64.67501,0.3351787785026132,0.20240849596732446,138.17934,95.8709,78.67004,70.37083,0.2854709247878604,0.2195405796719024,115.03438,100.18491,126.23225,70.630554,0.460326271132673,0.22169252815279714,158.62534,103.26199,76.475815,0.24888689227294614,112.2631,96.307884,66.051384,0.33857226293314396,0.2070066544171977,140.56761,97.09181,78.13619,70.56334,0.28731372015904266,0.2243915497137554,119.24349,103.303764,121.5567,69.89495,0.4446553721714615,0.23030052944048293,147.27126,98.08341,geode,pem07,15900376
73.135544,0.23522795109355696,108.383026,96.80396,60.71504,0.3375638887209615,0.19183927116030386,138.98755,91.71117,78.392746,66.71014,0.2844647125124805,0.20812007686083409,115.62114,99.057106,135.72787,67.01682,0.4949536331683247,0.21034989619031422,165.96516,101.66857,74.05419,0.24100584286361992,110.33889,96.971825,61.630535,0.3409063464975532,0.1960541835147867,141.22751,92.59146,77.6207,67.1294,0.28541818648204903,0.21347163822866327,115.103035,101.295296,130.88477,68.29679,0.4787775214845964,0.21819098199192316,156.09776,96.57978,geode,pem07,15900376
74.56028,0.23981036063152994,109.41694,98.066864,62.57199,0.3419677451265958,0.19680250532248625,140.45288,92.77344,79.170135,67.85061,0.28728563837265547,0.21167810280792146,116.081764,98.79955,134.14919,68.46756,0.4891966441985866,0.2149033950207446,165.01546,102.450584,75.55645,0.24589488230018738,111.14383,98.465004,63.650322,0.3461556500613628,0.20205042950304944,142.70178,94.5182,78.72377,68.58015,0.28947430882518393,0.2180849865325884,118.25835,100.26733,128.50586,70.338936,0.47007546382446974,0.2233646201715549,153.20227,97.61618,geode,pem07,63273150
75.87279,0.24403182400728268,111.14945,98.99922,63.169098,0.34521897114886113,0.19959327697335985,143.04935,93.295456,80.11592,69.01262,0.2907176166976049,0.21530330577306875,118.487114,102.06868,137.77162,70.05391,0.5024064571124073,0.2198825816896949,171.71732,102.71064,76.74729,0.24977040644762624,112.76944,99.21376,64.35633,0.34878791460222824,0.20623574421082144,145.09567,94.198006,79.66291,69.30606,0.29292758971049687,0.22039339542772873,118.12541,101.62202,132.04694,70.10306,0.4830287059172492,0.22802725633682505,159.93707,97.26188,geode,pem07,63273150
75.00903,0.24125370479520583,110.72137,97.70314,63.240524,0.3406994051708187,0.19473588988179857,140.91287,92.81691,79.758705,68.81935,0.28942140292098467,0.21470035157406875,117.80837,98.88269,129.24515,69.10394,0.47131329356004503,0.2169008694292756,162.11343,104.4761,75.96955,0.24723929976594436,112.46004,97.942085,64.27707,0.34431732919448127,0.19911027809282217,143.24268,94.38212,79.55059,69.268036,0.29251460060044954,0.22027247789185242,119.29457,102.05474,124.46944,70.49042,0.45531017011600355,0.2251198797007517,151.21793,99.7387,geode,pem07,10799678
74.81792,0.24063899720396772,109.857735,97.71979,62.828907,0.34075745460007945,0.19712648274774852,140.2354,93.66263,79.69905,68.31522,0.2892049145365337,0.21312758167487975,117.04828,99.555664,123.00338,69.16452,0.44855168459675815,0.2170909969494737,155.12598,101.26989,75.77076,0.24659232433518963,111.67494,98.028046,64.0017,0.34461950614020037,0.2010931086322822,143.00812,94.36215,79.106316,68.47472,0.2908809490628255,0.21774973916850096,116.8544,100.87471,118.2304,68.9533,0.4324877229034472,0.22539921603679028,145.40494,96.53752,geode,pem07,72833750
