test_mae,test_mre,test_mse,test_rmse,val_mae,val_mre,val_mse,val_rmse,model,db,seed
No gcn2
10.499033,0.3772042295839383,227.62817,15.087352,9.648955,0.3870677460587971,205.49698,14.335166,geodeCrossV12,aircross_sp,15900376
10.189715,0.3660912084855226,220.24908,14.840792,9.403212,0.3772097075728446,200.92654,14.174856,geodeCrossV12,aircross_sp,15900376
10.195095,0.36628449009857256,235.20682,15.336453,9.617659,0.38581226576697863,224.3437,14.978107,geodeCrossV12,aircross_sp,15900376
12.721506,0.45705219576897094,363.77695,19.072937,12.636049,0.5068949505665052,356.29495,18.875776,geodeCrossV12,aircross_sp,15900376
9.559281,0.3434412988524393,183.78773,13.556833,9.082791,0.36435606027668715,172.26974,13.125157,geodeCrossV12,aircross_sp,15900376
9.526331,0.34225747374655613,184.6041,13.586909,8.949291,0.3590007217203017,171.09761,13.080428,geodeCrossV12,aircross_sp,15900376
9.712593,0.3489493954075386,198.30473,14.082071,9.130257,0.36626014973522303,187.21413,13.682621,geodeCrossV12,aircross_sp,15900376

9.807893,0.3523732788753521,199.86945,14.137519,9.211329,0.36951237793796554,188.03075,13.71243,geodeCrossV12,aircross_sp,15900376
10.747034,0.3861142983381961,234.05122,15.298733,10.167738,0.4078786814257005,221.40527,14.879693,geodeCrossV12,aircross_sp,15900376
10.47518,0.3763472457337104,236.36203,15.37407,9.991799,0.40082091771518863,227.37209,15.078862,geodeCrossV12,aircross_sp,15900376
10.4120245,0.37407825128433025,230.20175,15.172401,10.014889,0.40174715442205716,226.05368,15.035082,geodeCrossV12,aircross_sp,15900376
9.722113,0.34929143141231145,192.98744,13.891992,9.176501,0.3681152317765611,179.47646,13.396882,geodeCrossV12,aircross_sp,15900376
9.735942,0.34978825566570315,182.92401,13.5249405,9.216957,0.36973811117970706,170.3155,13.050498,geodeCrossV12,aircross_sp,15900376

9.333182,0.335318119910089,183.42381,13.543405,8.697499,0.3489000808674544,171.09262,13.080237,geodeCrossV12,aircross_sp,15900376
10.037627,0.3606270665959864,200.72476,14.167737,9.486125,0.380535812109248,189.50233,13.765985,geodeCrossV12,aircross_sp,15900376
10.649446,0.3826081870541438,222.719,14.923773,10.328682,0.4143349651748201,218.92337,14.79606,geodeCrossV12,aircross_sp,15900376
10.319309,0.3707472099357623,221.73938,14.890916,9.862727,0.39564317452588055,213.75311,14.620298,geodeCrossV12,aircross_sp,15900376
9.600229,0.34491245886627225,181.91695,13.487659,8.973691,0.3599795135779054,167.22894,12.931703,geodeCrossV12,aircross_sp,15900376
9.237805,0.3318914397275829,186.56322,13.658814,8.643822,0.3467468153004692,176.8783,13.29956,geodeCrossV12,aircross_sp,15900376

new
8.746501,0.31137965255601635,165.80217,12.876419,8.395315,0.3244511227658656,160.78853,12.680242,geodeCrossV12,aircross_sp,15900376
9.039348,0.32180511749591795,178.56126,13.362681,8.575454,0.3314129074595574,171.31152,13.088603,geodeCrossV12,aircross_sp,15900376
9.242361,0.32903250797464856,177.646,13.328391,8.728926,0.33734409148798083,162.79276,12.759027,geodeCrossV12,aircross_sp,15900376
9.377993,0.3338610367389229,184.17953,13.571276,8.860981,0.3424475666287752,176.62224,13.28993,geodeCrossV12,aircross_sp,15900376
8.989516,0.3200311015909267,167.22195,12.931433,8.638024,0.33383103255639135,158.317,12.582408,geodeCrossV12,aircross_sp,15900376
9.22286,0.3283382518457195,193.60545,13.914218,8.737379,0.33767077030966186,178.4649,13.359076,geodeCrossV12,aircross_sp,15900376

9.000232,0.32041258525103394,164.94646,12.843148,8.450873,0.3265982798948029,154.2078,12.418043,geodeCrossV12,aircross_sp,15900376
9.032818,0.32157265737659246,179.8062,13.4091835,8.582568,0.33168785238702236,174.91768,13.225645,geodeCrossV12,aircross_sp,15900376
9.351558,0.33291994466749963,186.88066,13.67043,8.892893,0.34368085855271324,182.63393,13.514212,geodeCrossV12,aircross_sp,15900376
9.323521,0.33192182995402375,198.40137,14.085502,8.894983,0.3437616676975547,196.11314,14.004041,geodeCrossV12,aircross_sp,15900376
