test_mae,test_mre,test_mse,test_rmse,val_mae,val_mre,val_mse,val_rmse,model,db,seed
9.489889,0.34094819286426353,191.28528,13.830592,8.767908,0.3517245289253311,174.26201,13.200833,geodeCrossV10,aircross_sp,15900376
9.549566,0.34309223802887157,194.98341,13.963646,8.879311,0.3561934558228903,179.79462,13.4087515,geodeCrossV10,aircross_sp,15900376
9.559724,0.3434571762641983,193.92776,13.925795,8.792611,0.35271549437840627,175.14217,13.234129,geodeCrossV10,aircross_sp,15900376
9.452423,0.3396021362848315,190.87596,13.815786,8.90372,0.35717263027920887,178.63654,13.365498,geodeCrossV10,aircross_sp,15900376
9.967571,0.3581101334794844,206.83218,14.381661,9.255799,0.3712962966183478,193.13553,13.897321,geodeCrossV10,aircross_sp,15900376
9.458267,0.3398120880791596,191.02667,13.821239,8.911396,0.35748055268123313,178.86644,13.374096,geodeCrossV10,aircross_sp,15900376
9.432311,0.33887954888947924,192.98618,13.891947,8.8715,0.3558801074754559,184.61649,13.587365,geodeCrossV10,aircross_sp,15900376
9.460441,0.3398901758767983,191.0876,13.823443,8.915089,0.3576286879472697,178.98732,13.378614,geodeCrossV10,aircross_sp,15900376
9.395369,0.3375523205861276,187.6521,13.698617,8.754109,0.3511710129300962,174.80345,13.221326,geodeCrossV10,aircross_sp,15900376

9.310459,0.33450172145496776,186.67046,13.66274,8.766469,0.35166679130109524,178.3771,13.355789,geodeCrossV10,aircross_sp,15900376
9.548918,0.34306893941355804,189.6783,13.772374,9.016941,0.36171449440449255,176.5227,13.286184,geodeCrossV10,aircross_sp,15900376
9.623327,0.3457423123818439,192.97304,13.891474,8.937405,0.35852386459483543,178.3683,13.355459,geodeCrossV10,aircross_sp,15900376
9.515289,0.3418607806877113,193.44637,13.9085,8.779661,0.3521959948870887,176.16512,13.27272,geodeCrossV10,aircross_sp,15900376

9.466929,0.34012331617956226,189.94492,13.78205,8.906433,0.3572814622227234,177.36693,13.317918,geodeCrossV10,aircross_sp,15900376
9.510919,0.34170374625878813,188.23346,13.71982,8.821752,0.353884472578975,172.0209,13.115674,geodeCrossV10,aircross_sp,15900376
9.450974,0.33955007775307233,189.8282,13.777816,8.894223,0.35679166630435605,177.42183,13.319979,geodeCrossV10,aircross_sp,15900376
9.518663,0.3419819863386429,183.47742,13.545383,8.961438,0.35948797857447073,172.89104,13.148804,geodeCrossV10,aircross_sp,15900376
9.467143,0.3401310016396231,189.95517,13.782422,8.906544,0.3572859142804958,177.37619,13.318265,geodeCrossV10,aircross_sp,15900376

9.914756,0.35621259559258867,194.6454,13.951537,9.30519,0.3732776014538738,181.01918,13.454337,geodeCrossV10,aircross_sp,15900376
10.428781,0.357903899631093,213.81833,14.622528,9.849759,0.3784631616339431,201.00978,14.177792,geodeCrossV10,aircross_sp,15900376
9.689711,0.34812729341615445,194.2943,13.938949,9.111363,0.36550222168117225,183.89748,13.560881,geodeCrossV10,aircross_sp,15900376
9.534667,0.3425569644537999,189.2422,13.756533,8.984713,0.36042165856542746,179.43369,13.395286,geodeCrossV10,aircross_sp,15900376
9.169874,0.3294508547200524,180.08698,13.419649,8.582524,0.3442878533603459,169.30437,13.011702,geodeCrossV10,aircross_sp,15900376
9.558814,0.3434244965429079,187.69312,13.700113,8.996432,0.36089176804083245,177.46754,13.321694,geodeCrossV10,aircross_sp,15900376
9.450564,0.33953536747421653,183.97723,13.563821,8.893061,0.3567450240428498,174.48007,13.20909,geodeCrossV10,aircross_sp,15900376
9.327878,0.33512752490485404,182.96152,13.526327,8.788005,0.3525306991991501,172.48282,13.133271,geodeCrossV10,aircross_sp,15900376
9.361529,0.3363365424643466,182.26918,13.5007105,8.804247,0.353182264810482,171.38371,13.09136,geodeCrossV10,aircross_sp,15900376
9.489079,0.34091910262718494,183.73628,13.554935,8.887233,0.35651125622809715,170.62445,13.062329,geodeCrossV10,aircross_sp,15900376
9.444798,0.3393282123945811,190.53735,13.803527,8.8950615,0.3568253002095585,178.2754,13.351981,geodeCrossV10,aircross_sp,15900376
9.751066,0.3503316331069708,186.54247,13.658055,9.128011,0.36617003034703316,175.02548,13.22972,geodeCrossV10,aircross_sp,15900376

9.24823,0.3322660013040174,182.84189,13.521904,8.607282,0.3452810100606059,169.86357,13.033172,geodeCrossV10,aircross_sp,15900376
9.252441,0.33241728815392657,183.07834,13.530644,8.615678,0.34561780127474817,170.04865,13.04027,geodeCrossV10,aircross_sp,15900376
9.488258,0.34088959398397123,183.04103,13.529265,8.966862,0.3597055381163957,172.59312,13.13747,geodeCrossV10,aircross_sp,15900376

9.587112,0.3444411794084984,191.15341,13.825824,8.975702,0.3600602071250303,179.473,13.396753,geodeCrossV10,aircross_sp,15900376
9.591651,0.3446042476943175,192.82506,13.886147,8.945474,0.3588475778892712,180.73674,13.443836,geodeCrossV10,aircross_sp,15900376
9.573519,0.34395278934193574,191.13876,13.8252945,8.952049,0.35911136231228624,179.3281,13.391344,geodeCrossV10,aircross_sp,15900376
9.366914,0.33653000024840074,186.02487,13.639093,8.741442,0.3506628174917164,174.55154,13.211796,geodeCrossV10,aircross_sp,15900376
9.390889,0.3373913663523596,186.16939,13.64439,8.781431,0.3522670191212391,174.9871,13.22827,geodeCrossV10,aircross_sp,15900376
9.386627,0.3372382517282812,191.06577,13.822654,8.768913,0.35176484091719223,179.12213,13.383652,geodeCrossV10,aircross_sp,15900376

8.824636,0.31416128694815887,183.36214,13.541127,8.392959,0.32436005373373455,166.22108,12.892675,geodeCrossV10,aircross_sp,15900376
8.792712,0.3130247885508666,177.31195,13.315853,8.308138,0.3210820364546139,162.77458,12.758314,geodeCrossV10,aircross_sp,15900376
